Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-11-12T05:00:00Z,BAC,23.50634048,352,Market On Open,Filled,8274.23185, 
2020-11-12T05:00:00Z,JPM,97.96568288,48,Market On Open,Filled,4702.352778, 
2020-11-12T05:00:00Z,GOOG,86.59059516,-3,Market On Open,Filled,-259.7717855, 
2020-11-12T05:00:00Z,GOOGL,86.31907719,-39,Market On Open,Filled,-3366.44401, 
2020-11-12T05:00:00Z,BRK.B,225,3,Market On Open,Filled,675, 
2020-11-12T05:00:00Z,DIS,133.2519934,5,Market On Open,Filled,666.2599672, 
2020-11-12T05:00:00Z,UNH,320.2477926,-3,Market On Open,Filled,-960.7433779, 
2020-11-16T05:00:00Z,JPM,103.1762533,44,Market On Open,Filled,4539.755145, 
2020-11-16T05:00:00Z,BAC,24.5222628,-133,Market On Open,Filled,-3261.460952, 
2020-11-16T05:00:00Z,GOOG,87.82595292,7,Market On Open,Filled,614.7816705, 
2020-11-16T05:00:00Z,GOOGL,87.48394958,4,Market On Open,Filled,349.9357983, 
2020-11-19T21:00:00Z,TSLA,0,71,Market On Open,Invalid,0, 
2020-11-19T21:00:00Z,ROKU,257.04,-3,Market On Open,Filled,-771.12, 
2020-11-19T21:00:00Z,SQ,0,36,Market On Open,Invalid,0, 
2020-11-19T21:00:00Z,AMD,85.47,-67,Market On Open,Filled,-5726.49, 
2020-11-19T21:00:00Z,BA,204.45,11,Market On Open,Filled,2248.95, 
2020-11-19T21:00:00Z,MU,60.05818578,13,Market On Open,Filled,780.7564151, 
2020-11-19T21:00:00Z,CRM,259.7760636,5,Market On Open,Filled,1298.880318, 
2020-11-23T05:00:00Z,ROKU,270.57,-1,Market On Open,Filled,-270.57, 
2020-11-23T05:00:00Z,TSLA,0,63,Market On Open,Invalid,0, 
2020-11-23T05:00:00Z,SQ,200.07,30,Market On Open,Filled,6002.1, 
2020-11-23T05:00:00Z,MU,61.31630626,24,Market On Open,Filled,1471.59135, 
2020-11-23T05:00:00Z,BA,203.24,-1,Market On Open,Filled,-203.24, 
2020-11-23T05:00:00Z,AMD,85.5,-25,Market On Open,Filled,-2137.5, 
2020-11-27T05:00:00Z,TSLA,0,68,Market On Open,Invalid,0, 
2020-11-27T05:00:00Z,BA,0,48,Market On Open,Invalid,0, 
2020-11-27T05:00:00Z,ROKU,279.7,-18,Market On Open,Filled,-5034.6, 
2020-11-27T05:00:00Z,SQ,215,-10,Market On Open,Filled,-2150, 
2020-11-27T05:00:00Z,C,47.208255,55,Market On Open,Filled,2596.454025, 
2020-11-27T05:00:00Z,WFC,25.18516762,83,Market On Open,Filled,2090.368912, 
2020-11-27T05:00:00Z,DIS,145.5718676,5,Market On Open,Filled,727.859338, 
2020-11-30T05:00:00Z,TSLA,0,66,Market On Open,Invalid,0, 
